#,admin4Pcode,admin4Name_eng,admin4Name_ukr,admin4Na_1_rus,admin4ClassType,admin4PoliticalType,admin3Pcode,admin3Name_eng,admin3Name_ukr,admin3Name_rus,admin3PoliticalType,admin2Pcode,admin2Name_eng,admin2Name_ukr,admin2Name_rus,admin2ClassType,admin2PoliticalType,admin1Pcode,admin1Name_eng,admin1Name_ukr,admin1Name_rus,admin1ClassType,Population,Population_source,X Longitude,Y Latitude,IDP location Cluster,IDP estimation
13310,UA4614011038,Lypovets,Липовець,Липовец,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,161,Census 2001,23.23718656,50.04358593,1,161
13317,UA0508013007,Lypchany,Липчани,Липчаны,сільські населені пункти (СНП),,UA0508013,Yaryshivska,Яришівська,Ярышевская,сільська ОТГ,UA0508,Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,район,,UA05,Vinnytska,Вінницька,Винницкая,область,647,Census 2001,27.4913845,48.52415442,1,647
13362,UA0706027011,Lysniaky,Лисняки,Лысняки,сільські населені пункти (СНП),,UA0706027,Liubomlska,Любомльська,Любомльская,міська ОТГ,UA0706,Kovelskyi,Ковельський,Ковельский,район,,UA07,Volynska,Волинська,Волынская,область,196,Census 2001,23.95292589,51.23723077,1,196
13408,UA0702009001,Lytovezh,Литовеж,Литовеж,сільські населені пункти (СНП),центр сільської ОТГ,UA0702009,Lytovezka,Литовезька,Литовежская,сільська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,1506,Census 2001,24.19906219,50.63633458,1,1506
13439,UA4608021012,Libukhova,Лібухова,Либухова,сільські населені пункти (СНП),,UA4608021,Khyrivska,Хирівська,Хыровская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,306,Census 2001,22.80396865,49.44894753,1,306
13442,UA7304007001,Livyntsi,Лівинці,Левинцы,сільські населені пункти (СНП),центр сільської ОТГ,UA7304007,Livynetska,Лівинецька,Левинецкая,сільська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,1446,Census 2001,26.60983324,48.4083896,1,1446
13596,UA4614011039,Lisok,Лісок,Лесок,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,144,Census 2001,23.35592591,49.96893685,1,144
13747,UA7304017013,Lomachyntsi,Ломачинці,Ломачинцы,сільські населені пункти (СНП),,UA7304017,Sokyrianska,Сокирянська,Сокирянская,міська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,2217,Census 2001,27.37856802,48.58709138,1,2217
13763,UA7304017014,Lopativ,Лопатів,Лопатов,сільські населені пункти (СНП),,UA7304017,Sokyrianska,Сокирянська,Сокирянская,міська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,478,Census 2001,27.11068,48.53764222,1,478
13777,UA4608021013,Lopushnytsia,Лопушниця,Лопушница,сільські населені пункти (СНП),,UA4608021,Khyrivska,Хирівська,Хыровская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,506,Census 2001,22.73163581,49.50235038,1,506
13784,UA4606039026,Losyny,Лосини,Лосины,сільські населені пункти (СНП),,UA4606039,Rava-Ruska,Рава-Руська,Рава-Русская,міська ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,23,Census 2001,23.49589018,50.20243246,1,23
13814,UA4612011026,Lubnivka,Лубнівка,Лубновка,сільські населені пункти (СНП),,UA4612011,Sokalska,Сокальська,Сокальская,міська ОТГ,UA4612,Chervonohradskyi,Червоноградський,Червоноградский,район,,UA46,Lvivska,Львівська,Львовская,область,214,Census 2001,24.11450935,50.51573712,1,214
13828,UA2106003006,Luh,Луг,Луг,сільські населені пункти (СНП),,UA2106003,Velykobychkivska,Великобичківська,Великобычковская,селищна ОТГ,UA2106,Rakhivskyi,Рахівський,Раховский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1985,Census 2001,24.06249226,47.96035918,1,1985
13831,UA4606039027,Luh,Луг,Луг,сільські населені пункти (СНП),,UA4606039,Rava-Ruska,Рава-Руська,Рава-Русская,міська ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,166,Census 2001,23.57352384,50.18481466,1,166
13833,UA4614011040,Luh,Луг,Луг,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,147,Census 2001,23.4313324,50.15165758,1,147
13879,UA0702021011,Ludyn,Лудин,Лудин,сільські населені пункти (СНП),,UA0702021,Ustyluzka,Устилузька,Устилугская,міська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,553,Census 2001,24.04531244,50.80143481,1,553
13885,UA4606039028,Luzhky,Лужки,Лужки,сільські населені пункти (СНП),,UA4606039,Rava-Ruska,Рава-Руська,Рава-Русская,міська ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,125,Census 2001,23.66322195,50.22445199,1,125
13886,UA4614011041,Luzhky,Лужки,Лужки,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,78,Census 2001,23.30103507,50.07513631,1,78
13915,UA7304003016,Lukachivka,Лукачівка,Лукачевка,сільські населені пункти (СНП),,UA7304003,Kelmenetska,Кельменецька,Кельменецкая,селищна ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,751,Census 2001,26.94562021,48.37891318,1,751
13991,UA4606039029,Lutsyky,Луцики,Луцыки,сільські населені пункти (СНП),,UA4606039,Rava-Ruska,Рава-Руська,Рава-Русская,міська ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,67,Census 2001,23.68219015,50.1827185,1,67
14001,UA5114015008,Luchynske,Лучинське,Лучинское,сільські населені пункти (СНП),,UA5114015,Stepanivska,Степанівська,Степановская,сільська ОТГ,UA5114,Rozdilnianskyi,Роздільнянський,Раздельнянский,район,,UA51,Odeska,Одеська,Одесская,область,590,Census 2001,29.948593,46.86145399,1,590
14081,UA4614011042,Liubyni,Любині,Любини,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,866,Census 2001,23.20971522,49.92199105,1,866
14168,UA0508013008,Liadova,Лядова,Лядова,сільські населені пункти (СНП),,UA0508013,Yaryshivska,Яришівська,Ярышевская,сільська ОТГ,UA0508,Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,район,,UA05,Vinnytska,Вінницька,Винницкая,область,805,Census 2001,27.62253748,48.49530906,1,805
14202,UA4614003029,Mazury,Мазури,Мазуры,сільські населені пункти (СНП),,UA4614003,Mostyska,Мостиська,Мостисская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,169,Census 2001,23.08830712,49.87614474,1,169
14260,UA7304003017,Maiorka,Майорка,Майорка,сільські населені пункти (СНП),,UA7304003,Kelmenetska,Кельменецька,Кельменецкая,селищна ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,88,Census 2001,27.01619844,48.52987999,1,88
14368,UA4614003030,Maksymtsi,Максимці,Максимцы,сільські населені пункти (СНП),,UA4614003,Mostyska,Мостиська,Мостисская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,124,Census 2001,23.20199885,49.84493201,1,124
14383,UA2102007006,Mala Byihan,Мала Бийгань,Малая Быйгань,сільські населені пункти (СНП),,UA2102007,Velykobyihanska,Великобийганська,Великобыйганская,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1300,Census 2001,22.57623186,48.27245529,1,1300
14391,UA7306043007,Mala Buda,Мала Буда,Малая Буда,сільські населені пункти (СНП),,UA7306043,Ostrytska,Острицька,Острицкая,сільська ОТГ,UA7306,Cnernivetskyi,Чернівецький,Черновицкий,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,577,Census 2001,26.11286978,48.1631427,1,577
14426,UA2110005003,Mala Dobron,Мала Добронь,Малая Добрань,сільські населені пункти (СНП),,UA2110005,Velykodobronska,Великодобронська,Великодобронская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1872,Census 2001,22.35635991,48.43669693,1,1872
14557,UA2102017005,Male Popovo,Мале Попово,Малое Попово,сільські населені пункти (СНП),,UA2102017,Kosonska,Косоньська,Косоньская,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,210,Census 2001,22.3879894,48.26239852,1,210
14567,UA4606039030,Malyi,Малий,Малый,сільські населені пункти (СНП),,UA4606039,Rava-Ruska,Рава-Руська,Рава-Русская,міська ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,55,Census 2001,23.73968624,50.22317734,1,55
14569,UA2110007004,Malyi Bereznyi,Малий Березний,Малый Березный,сільські населені пункти (СНП),,UA2110007,Dubrynytska-Malobereznianska,Дубриницько-Малоберезнянс,Дубриничско-Малоберезнянс,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1571,Census 2001,22.44591313,48.85905682,1,1571
14694,UA2110019005,Mali Heivtsi,Малі Геївці,Малые Геевцы,сільські населені пункти (СНП),,UA2110019,Siurtivska,Сюртівська,Сюртивская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,760,Census 2001,22.30058428,48.49625058,1,760
14700,UA4606039031,Mali Dolyny,Малі Долини,Малые Долины,сільські населені пункти (СНП),,UA4606039,Rava-Ruska,Рава-Руська,Рава-Русская,міська ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,50,Census 2001,23.5145264,50.18910734,1,50
14729,UA4614009017,Mali Novosilky,Малі Новосілки,Малые Новоселки,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,148,Census 2001,22.97686338,49.74609905,1,148
14739,UA2110019006,Mali Selmentsi,Малі Селменці,Малые Селменцы,сільські населені пункти (СНП),,UA2110019,Siurtivska,Сюртівська,Сюртивская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,200,Census 2001,22.16191072,48.51464783,1,200
14758,UA4614003031,Malniv,Малнів,Малнов,сільські населені пункти (СНП),,UA4614003,Mostyska,Мостиська,Мостисская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,899,Census 2001,23.08804796,49.8972079,1,899
14759,UA4614003032,Malnivska Volia,Малнівська Воля,Малновская Воля,сільські населені пункти (СНП),,UA4614003,Mostyska,Мостиська,Мостисская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,594,Census 2001,23.11095041,49.9039957,1,594
14812,UA5106017009,Maloiaroslavets Druhyi,Малоярославець Другий,Малоярославец Второй,сільські населені пункти (СНП),,UA5106017,Tarutynska,Тарутинська,Тарутинская,селищна ОТГ,UA5106,Bolhradskyi,Болградський,Болградский,район,,UA51,Odeska,Одеська,Одесская,область,701,Census 2001,29.08538949,46.15185096,1,701
14837,UA7304009001,Mamalyha,Мамалига,Мамалыга,сільські населені пункти (СНП),центр сільської ОТГ,UA7304009,Mamalyhivska,Мамалигівська,Мамалыговская,сільська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,2590,Census 2001,26.5793108,48.25685262,1,2590
15007,UA4614003033,Martyny,Мартини,Мартыны,сільські населені пункти (СНП),,UA4614003,Mostyska,Мостиська,Мостисская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,78,Census 2001,23.13500196,49.87939991,1,78
15176,UA5114013028,Matyshivka,Матишівка,Матышевка,сільські населені пункти (СНП),,UA5114013,Rozdilnianska,Роздільнянська,Раздельнянская,міська ОТГ,UA5114,Rozdilnianskyi,Роздільнянський,Раздельнянский,район,,UA51,Odeska,Одеська,Одесская,область,253,Census 2001,30.05097034,46.83958314,1,253
15178,UA2102009005,Matiiovo,Матійово,Матиево,сільські населені пункти (СНП),,UA2102009,Vylotska,Вилоцька,Вилокская,селищна ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1079,Census 2001,22.91033741,48.1327582,1,1079
15249,UA5110021001,Maiaky,Маяки,Маяки,сільські населені пункти (СНП),центр сільської ОТГ,UA5110021,Maiakivska,Маяківська,Маяковская,сільська ОТГ,UA5110,Odeskyi,Одеський,Одесский,район,,UA51,Odeska,Одеська,Одесская,область,5937,Census 2001,30.27585032,46.41513863,1,5937
15338,UA4614003034,Meleshky,Мелешки,Мелешки,сільські населені пункти (СНП),,UA4614003,Mostyska,Мостиська,Мостисская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,322,Census 2001,23.07663753,49.87478393,1,322
15351,UA4614011043,Melnyky,Мельники,Мельники,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,140,Census 2001,23.17071249,49.89219143,1,140
15427,UA0702021012,Mykytychi,Микитичі,Никитичи,сільські населені пункти (СНП),,UA0702021,Ustyluzka,Устилузька,Устилугская,міська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,390,Census 2001,24.06815347,50.95303767,1,390
15593,UA0706033010,Mylovan,Миловань,Миловань,сільські населені пункти (СНП),,UA0706033,Rivnenska,Рівненська,Ровенская,сільська ОТГ,UA0706,Kovelskyi,Ковельський,Ковельский,район,,UA07,Volynska,Волинська,Волынская,область,270,Census 2001,23.78141287,51.24548381,1,270
15619,UA2110025006,Mynai,Минай,Минай,сільські населені пункти (СНП),,UA2110025,Kholmkivska,Холмківська,Холмковская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,3088,Census 2001,22.27780823,48.58964752,1,3088
15771,UA2110007005,Myrcha,Мирча,Мирча,сільські населені пункти (СНП),,UA2110007,Dubrynytska-Malobereznianska,Дубриницько-Малоберезнянс,Дубриничско-Малоберезнянс,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,686,Census 2001,22.46498851,48.82768045,1,686
15869,UA4612001014,Mykhailivka,Михайлівка,Михайловка,сільські населені пункти (СНП),,UA4612001,Belzka,Белзька,Белзская,міська ОТГ,UA4612,Chervonohradskyi,Червоноградський,Червоноградский,район,,UA46,Lvivska,Львівська,Львовская,область,117,Census 2001,23.72657003,50.32915935,1,117
15924,UA7306015003,Mykhailivka,Михайлівка,Михайловка,сільські населені пункти (СНП),,UA7306015,Hlybotska,Глибоцька,Глыбокская,селищна ОТГ,UA7306,Cnernivetskyi,Чернівецький,Черновицкий,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,745,Census 2001,25.96807793,48.11447484,1,745
15925,UA7304007005,Mykhailivka,Михайлівка,Михайловка,сільські населені пункти (СНП),,UA7304007,Livynetska,Лівинецька,Левинецкая,сільська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,568,Census 2001,26.60901454,48.38475861,1,568
15948,UA0702019010,Mykhalie,Михалє,Михале,сільські населені пункти (СНП),,UA0702019,Poromivska,Поромівська,Поромовская,сільська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,203,Census 2001,24.07717921,50.7285588,1,203
15981,UA4614009018,Myshliatychi,Мишлятичі,Мышлятичи,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,625,Census 2001,23.06536507,49.7330034,1,625
15987,UA4608005020,Mihovo,Мігово,Мигово,сільські населені пункти (СНП),,UA4608005,Dobromylska,Добромильська,Добромильская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,543,Census 2001,22.71448621,49.54975232,1,543
16003,UA4608005021,Mizhenets,Міженець,Миженец,сільські населені пункти (СНП),,UA4608005,Dobromylska,Добромильська,Добромильская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,1116,Census 2001,22.9096471,49.67861624,1,1116
16069,UA0702019011,Mlynyshche,Млинище,Млынище,сільські населені пункти (СНП),,UA0702019,Poromivska,Поромівська,Поромовская,сільська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,258,Census 2001,24.04913272,50.73979531,1,258
16091,UA0702009006,Movnyky,Мовники,Мовники,сільські населені пункти (СНП),,UA0702009,Lytovezka,Литовезька,Литовежская,сільська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,606,Census 2001,24.1326177,50.66144454,1,606
16108,UA0508005001,Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,міста,"центр району, місто обласного значення, центр міської ОТГ",UA0508005,Mohyliv-Podilska,Могилів-Подільська,Могилев-Подольская,міська ОТГ,UA0508,Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,район,,UA05,Vinnytska,Вінницька,Винницкая,область,32266,Census 2001,27.80125593,48.44681056,1,32266
16234,UA4606011027,Monastyrok,Монастирок,Монастырек,сільські населені пункти (СНП),,UA4606011,Dobrosynsko-Maherivska,Добросинсько-Магерівська,Добросинско-Магеровская,селищна ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,982,Census 2001,23.62307332,50.15905372,1,982
16284,UA0702019012,Morozovychi,Морозовичі,Морозовичи,сільські населені пункти (СНП),,UA0702019,Poromivska,Поромівська,Поромовская,сільська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,929,Census 2001,24.12210711,50.71010798,1,929
16293,UA4614011044,Moriantsi,Мор'янці,Морьянцы,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,489,Census 2001,23.19559574,49.93821583,1,489
16294,UA0706005011,Mosyr,Мосир,Мосыр,сільські населені пункти (СНП),,UA0706005,Vyshnivska,Вишнівська,Вишневская,сільська ОТГ,UA0706,Kovelskyi,Ковельський,Ковельский,район,,UA07,Volynska,Волинська,Волынская,область,355,Census 2001,24.08984321,51.04103708,1,355
16328,UA4614003001,Mostyska,Мостиська,Мостиска,міста,"місто районного значення, центр міської ОТГ",UA4614003,Mostyska,Мостиська,Мостисская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,9193,Census 2001,23.15104293,49.79517737,1,9193
16329,UA4614009019,Mostyska Druhi,Мостиська Другі,Мостиски-Вторые,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,965,Census 2001,23.04009192,49.81422673,1,965
16369,UA4614009020,Mocherady,Мочеради,Мочерады,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,115,Census 2001,23.01849432,49.73887237,1,115
16370,UA2102007007,Mochola,Мочола,Мочола,сільські населені пункти (СНП),,UA2102007,Velykobyihanska,Великобийганська,Великобыйганская,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,675,Census 2001,22.62745505,48.15689248,1,675
16404,UA2102003013,Muzhiievo,Мужієво,Мужиево,сільські населені пункти (СНП),,UA2102003,Berehivska,Берегівська,Береговская,міська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,2086,Census 2001,22.70589542,48.182461,1,2086
16433,UA4612001015,Murovane,Муроване,Мурованое,сільські населені пункти (СНП),,UA4612001,Belzka,Белзька,Белзская,міська ОТГ,UA4612,Chervonohradskyi,Червоноградський,Червоноградский,район,,UA46,Lvivska,Львівська,Львовская,область,1104,Census 2001,24.10910865,50.40846521,1,1104
16468,UA4608017013,Mshanets,Мшанець,Мшанец,сільські населені пункти (СНП),,UA4608017,Strilkivska,Стрілківська,Стрелковская,сільська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,402,Census 2001,22.77356267,49.34017888,1,402
16498,UA4614011045,Nahachiv,Нагачів,Нагачев,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,2973,Census 2001,23.28643794,50.00702074,1,2973
16506,UA4614003036,Nahirne,Нагірне,Нагорное,сільські населені пункти (СНП),,UA4614003,Mostyska,Мостиська,Мостисская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,291,Census 2001,23.11878494,49.74395681,1,291
16510,UA5108007005,Nahirne,Нагірне,Нагорное,сільські населені пункти (СНП),,UA5108007,Reniiska,Ренійська,Ренийская,міська ОТГ,UA5108,Izmailskyi,Ізмаїльський,Измаильский,район,,UA51,Odeska,Одеська,Одесская,область,2611,Census 2001,28.4475342,45.43118194,1,2611
16520,UA0508013009,Nahoriany,Нагоряни,Нагоряны,сільські населені пункти (СНП),,UA0508013,Yaryshivska,Яришівська,Ярышевская,сільська ОТГ,UA0508,Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,район,,UA05,Vinnytska,Вінницька,Винницкая,область,351,Census 2001,27.57469086,48.49593155,1,351
16577,UA5106005020,Nadrichne,Надрічне,Надречное,сільські населені пункти (СНП),,UA5106005,Borodinska,Бородінська,Бородинская,селищна ОТГ,UA5106,Bolhradskyi,Болградський,Болградский,район,,UA51,Odeska,Одеська,Одесская,область,1494,Census 2001,29.105164,46.37711801,1,1494
16600,UA4614011046,Nakonechne Druhe,Наконечне Друге,Наконечное-Второе,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,1155,Census 2001,23.29781275,49.9375365,1,1155
16601,UA4614011047,Nakonechne Pershe,Наконечне Перше,Наконечное-Первое,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,1151,Census 2001,23.33593482,49.9356849,1,1151
16673,UA2102019007,Nevetlenfolu,Неветленфолу,Неветленфолу,сільські населені пункти (СНП),,UA2102019,Pyiterfolvivska,Пийтерфолвівська,Паятерфолвовский,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1595,Census 2001,23.00215608,48.01402588,1,1595
16675,UA2110011004,Nevytske,Невицьке,Невицкое,сільські населені пункти (СНП),,UA2110011,Onokivska,Оноківська,Оноковская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1028,Census 2001,22.38667207,48.67162201,1,1028
16684,UA7304009005,Nehryntsi,Негринці,Негринцы,сільські населені пункти (СНП),,UA7304009,Mamalyhivska,Мамалигівська,Мамалыговская,сільська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,757,Census 2001,26.55023329,48.23296162,1,757
16720,UA7304003021,Nelypivtsi,Нелипівці,Нелиповцы,сільські населені пункти (СНП),,UA7304003,Kelmenetska,Кельменецька,Кельменецкая,селищна ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,2165,Census 2001,26.91970132,48.42123619,1,2165
16739,UA4614011003,Nemyriv,Немирів,Немиров,селища міського типу (СМТ),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,2002,Census 2001,23.43935334,50.10445022,1,2002
16746,UA0508005009,Nemiia,Немія,Немия,сільські населені пункти (СНП),,UA0508005,Mohyliv-Podilska,Могилів-Подільська,Могилев-Подольская,міська ОТГ,UA0508,Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,район,,UA05,Vinnytska,Вінницька,Винницкая,область,2024,Census 2001,27.75559766,48.46090904,1,2024
16775,UA7304009006,Nesvoia,Несвоя,Несвоя,сільські населені пункти (СНП),,UA7304009,Mamalyhivska,Мамалигівська,Мамалыговская,сільська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,1330,Census 2001,26.57380947,48.33650856,1,1330
16840,UA4606039033,Nyvy,Ниви,Нивы,сільські населені пункти (СНП),,UA4606039,Rava-Ruska,Рава-Руська,Рава-Русская,міська ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,207,Census 2001,23.57201809,50.21807591,1,207
